drug_concept_id,outcome_concept_id,lrt_p,adj_p,group,sig_group,drug_concept,outcome_concept,SOC,Level_4_Des,Level_3_Des,Level_2_Des,Level_1_Des
1550023,36314160,0,0,adult_children_senior_youth,children,insulin lispro,blood glucose increased,Investigations,"$Insulins and analogues for injection, intermediate-acting$Insulins and analogues for injection, fast-acting$Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",$INSULINS AND ANALOGUES$INSULINS AND ANALOGUES$INSULINS AND ANALOGUES,$DRUGS USED IN DIABETES$DRUGS USED IN DIABETES$DRUGS USED IN DIABETES,$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM$ALIMENTARY TRACT AND METABOLISM
1304107,35809059,0,0,adult_children_senior_youth,youth,imatinib,death,General disorders and administration site conditions,Protein kinase inhibitors,OTHER ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
735979,36919045,0,0,adult_children_senior_youth,children,risperidone,emotional disorder,Psychiatric disorders,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
40241331,35707864,0,0,adult_children_senior_youth,children,rivaroxaban,gastrointestinal haemorrhage,Gastrointestinal disorders,Direct factor Xa inhibitors,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
1151789,35809005,0,0,adult_children_senior_youth,children_youth,etanercept,injection site pain,General disorders and administration site conditions,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1107830,36211496,0,0,adult_children_senior_youth,children,loratadine,overdose,"Injury, poisoning and procedural complications",Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
1150871,37622518,1.56E-298,7.15E-291,adult_children_senior_youth,youth,misoprostol,haemorrhage,Vascular disorders,$Prostaglandins$Prostaglandins$Propionic acid derivatives,"$UTEROTONICS$DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",$OTHER GYNECOLOGICALS$DRUGS FOR ACID RELATED DISORDERS$ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,$GENITO URINARY SYSTEM AND SEX HORMONES$ALIMENTARY TRACT AND METABOLISM$MUSCULO-SKELETAL SYSTEM
1112807,35205189,3.56E-286,1.63E-278,adult_children_senior_youth,adult,aspirin,myocardial infarction,Vascular disorders,0,0,0,0
1119119,35809005,1.05E-284,4.82E-277,adult_children_senior_youth,children,adalimumab,injection site pain,General disorders and administration site conditions,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1308290,35104877,7.00E-264,3.21E-256,adult_children_senior_youth,senior,vincristine,febrile neutropenia,General disorders and administration site conditions,Vinca alkaloids and analogues,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS,ANTINEOPLASTIC AGENTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
722424,36718112,2.88E-261,1.32E-253,adult_children_senior_youth,children_youth,interferon beta-1a,multiple sclerosis relapse,Nervous system disorders,Interferons,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
1310149,36313050,8.33E-258,3.82E-250,adult_children_senior_youth,children,warfarin,international normalised ratio increased,Investigations,Vitamin K antagonists,ANTITHROMBOTIC AGENTS,ANTITHROMBOTIC AGENTS,BLOOD AND BLOOD FORMING ORGANS
735979,35506601,9.54E-258,4.38E-250,adult_children_senior_youth,children,risperidone,gynaecomastia,$Endocrine disorders$Reproductive system and breast disorders,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
984232,36818844,3.83E-256,1.76E-248,adult_children_youth,adult,isotretinoin,unintended pregnancy,"Pregnancy, puerperium and perinatal conditions",$Retinoids for topical use in acne$Retinoids for topical use in acne$Retinoids for treatment of acne,$ANTI-ACNE PREPARATIONS FOR TOPICAL USE$ANTI-ACNE PREPARATIONS FOR TOPICAL USE$ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,$ANTI-ACNE PREPARATIONS$ANTI-ACNE PREPARATIONS$ANTI-ACNE PREPARATIONS,$DERMATOLOGICALS$DERMATOLOGICALS$DERMATOLOGICALS
1589505,37320257,6.05E-225,2.78E-217,adult_children_youth,adult,levonorgestrel,acne,Skin and subcutaneous tissue disorders,"$Progestogens and estrogens, sequential preparations$Emergency contraceptives$Progestogens$Progestogens and estrogens, sequential preparations$Progestogens and estrogens, fixed combinations$Progestogens and estrogens, fixed combinations",$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$PROGESTOGENS AND ESTROGENS IN COMBINATION$HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE$PROGESTOGENS AND ESTROGENS IN COMBINATION,$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES
1107830,36211491,7.27E-222,3.34E-214,adult_children_senior_youth,children,loratadine,accidental overdose,"Injury, poisoning and procedural complications",Other antihistamines for systemic use,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,RESPIRATORY SYSTEM
956874,35205243,2.16E-220,9.90E-213,adult_children_senior_youth,adult,furosemide,cardiac failure congestive,Cardiac disorders,"$High-ceiling diuretics and potassium-sparing agents$Sulfonamides, plain$Sulfonamides$Sulfonamides and potassium in combination","$DIURETICS AND POTASSIUM-SPARING AGENTS IN COMBINATION$HIGH-CEILING DIURETICS$ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS$HIGH-CEILING DIURETICS",$DIURETICS$DIURETICS$GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS$DIURETICS,$CARDIOVASCULAR SYSTEM$CARDIOVASCULAR SYSTEM$GENITO URINARY SYSTEM AND SEX HORMONES$CARDIOVASCULAR SYSTEM
735979,36919046,9.73E-212,4.47E-204,adult_children_senior_youth,children,risperidone,emotional distress,Psychiatric disorders,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
1154161,36918942,2.26E-203,1.04E-195,adult_children_senior_youth,children_youth,montelukast,depression,Psychiatric disorders,$Leukotriene receptor antagonists$Leukotriene receptor antagonists,$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
19026972,43053715,1.68E-194,7.71E-187,adult_children_senior_youth,children,lenalidomide,plasma cell myeloma,"$Blood and lymphatic system disorders$Neoplasms benign, malignant and unspecified (incl cysts and polyps)",Other immunosuppressants,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
996416,36919183,3.21E-187,1.48E-179,adult_senior_youth,youth,finasteride,erectile dysfunction,$Psychiatric disorders$Reproductive system and breast disorders,$Other dermatologicals$Alpha-adrenoreceptor antagonists$Testosterone-5-alpha reductase inhibitors,$OTHER DERMATOLOGICAL PREPARATIONS$DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY$DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,$OTHER DERMATOLOGICAL PREPARATIONS$UROLOGICALS$UROLOGICALS,$DERMATOLOGICALS$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES
1508439,36818629,8.45E-187,3.88E-179,adult_children_youth,youth,mifepristone,abortion incomplete,"Pregnancy, puerperium and perinatal conditions",$Progesterone receptor modulators$Progesterone receptor modulators,$OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM$SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,$GENITO URINARY SYSTEM AND SEX HORMONES$GENITO URINARY SYSTEM AND SEX HORMONES
781039,35809059,5.40E-185,2.48E-177,adult_children_senior_youth,youth,alprazolam,death,General disorders and administration site conditions,Benzodiazepine derivatives,ANXIOLYTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
1151789,36009833,2.07E-184,9.51E-177,adult_children_senior_youth,senior,etanercept,rheumatoid arthritis,Immune system disorders,Tumor necrosis factor alpha (TNF-a) inhibitors,IMMUNOSUPPRESSANTS,IMMUNOSUPPRESSANTS,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
735979,36315381,1.29E-179,5.93E-172,adult_children_senior_youth,children,risperidone,weight increased,Investigations,Other antipsychotics,ANTIPSYCHOTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
1154161,36918858,1.56E-177,7.18E-170,adult_children_senior_youth,children_youth,montelukast,anxiety,Psychiatric disorders,$Leukotriene receptor antagonists$Leukotriene receptor antagonists,$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
1154161,36919059,1.88E-175,8.63E-168,adult_children_senior_youth,children,montelukast,aggression,Psychiatric disorders,$Leukotriene receptor antagonists$Leukotriene receptor antagonists,$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES$DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,$RESPIRATORY SYSTEM$RESPIRATORY SYSTEM
1112807,35205243,2.15E-174,9.88E-167,adult_children_senior_youth,adult,aspirin,cardiac failure congestive,Cardiac disorders,0,0,0,0
964407,36919230,2.59E-174,1.19E-166,adult_children_senior_youth,senior,salicylic acid,completed suicide,General disorders and administration site conditions,"$Other antifungals for topical use$Salicylic acid and derivatives$Salicylic acid and derivatives$Antiinflammatory agents, non-steroids",$ANTIFUNGALS FOR TOPICAL USE$OTHER ANALGESICS AND ANTIPYRETICS$OTHER ANALGESICS AND ANTIPYRETICS$ANTIINFLAMMATORY AGENTS,$ANTIFUNGALS FOR DERMATOLOGICAL USE$ANALGESICS$ANALGESICS$OPHTHALMOLOGICALS,$DERMATOLOGICALS$NERVOUS SYSTEM$NERVOUS SYSTEM$SENSORY ORGANS
781039,35204966,1.68E-173,7.70E-166,adult_children_senior_youth,youth,alprazolam,cardiac arrest,Cardiac disorders,Benzodiazepine derivatives,ANXIOLYTICS,PSYCHOLEPTICS,NERVOUS SYSTEM
705944,35808800,1.11E-170,5.08E-163,adult_children_senior_youth,children,methylphenidate,application site erythema,General disorders and administration site conditions,Centrally acting sympathomimetics,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS",PSYCHOANALEPTICS,NERVOUS SYSTEM
