drug_concept_id,outcome_concept_id,drug_concept,outcome_concept,group,sig_group,lrt_p,adj_p
1112807,35205189,aspirin,myocardial infarction,adult_children_senior_youth,adult,3.56E-286,1.63E-278
984232,36818844,isotretinoin,unintended pregnancy,adult_children_youth,adult,3.83E-256,1.76E-248
1589505,37320257,levonorgestrel,acne,adult_children_youth,adult,6.05E-225,2.78E-217
956874,35205243,furosemide,cardiac failure congestive,adult_children_senior_youth,adult,2.16E-220,9.90E-213
1112807,35205243,aspirin,cardiac failure congestive,adult_children_senior_youth,adult,2.15E-174,9.88E-167
1589505,36211582,levonorgestrel,complication of device removal,adult_children_youth,adult,1.93E-133,8.84E-126
1519936,37219871,etonogestrel,pulmonary embolism,adult_children_senior_youth,adult,4.34E-113,1.99E-105
984232,36818833,isotretinoin,pregnancy,adult_children_youth,adult,1.22E-111,5.59E-104
1322184,35205164,clopidogrel,coronary artery disease,adult_children_senior_youth,adult,1.52E-110,6.96E-103
1112807,35205180,aspirin,acute myocardial infarction,adult_children_senior_youth,adult,3.66E-109,1.68E-101
1311078,35104103,cytarabine,bone marrow failure,adult_children_senior_youth,adult,3.77E-99,1.73E-91
1322184,35205243,clopidogrel,cardiac failure congestive,adult_children_senior_youth,adult,8.29E-95,3.80E-87
1310317,37320268,cyclophosphamide,alopecia,adult_children_senior_youth,adult,3.33E-90,1.53E-82
1336926,37119607,tadalafil,benign prostatic hyperplasia,adult_senior_youth,adult,5.81E-87,2.67E-79
984232,37521612,isotretinoin,abortion induced,adult_children_youth,adult,4.18E-82,1.92E-74
1589505,36918858,levonorgestrel,anxiety,adult_children_youth,adult,1.79E-81,8.23E-74
1315942,37320268,docetaxel,alopecia,adult_children_senior_youth,adult,4.57E-80,2.10E-72
1336926,36315262,tadalafil,body height decreased,adult_senior,adult,2.27E-78,1.04E-70
1547504,35204989,rosiglitazone,cardiac disorder,adult_children_senior_youth,adult,3.57E-72,1.64E-64
1149380,35809288,fluticasone,product odour abnormal,adult_senior_youth,adult,9.32E-72,4.28E-64
1307046,35205164,metoprolol,coronary artery disease,adult_children_senior_youth,adult,7.25E-64,3.33E-56
1338512,37320268,doxorubicin,alopecia,adult_children_senior_youth,adult,2.06E-62,9.45E-55
1519936,37622465,etonogestrel,deep vein thrombosis,adult_children_senior_youth,adult,2.41E-62,1.11E-54
1307046,35205180,metoprolol,acute myocardial infarction,adult_children_senior_youth,adult,4.67E-61,2.14E-53
1589505,36919197,levonorgestrel,loss of libido,adult_children_youth,adult,5.25E-61,2.41E-53
1305058,35809243,methotrexate,pain,adult_children_senior_youth,adult,2.46E-57,1.13E-49
735979,35506609,risperidone,diabetes mellitus,adult_children_senior_youth,adult,7.39E-57,3.39E-49
735979,35707713,risperidone,pancreatitis,adult_children_senior_youth,adult,4.53E-56,2.08E-48
1589505,35809139,levonorgestrel,irritability,adult_children_senior_youth,adult,1.28E-55,5.88E-48
1383815,35205189,isosorbide,myocardial infarction,adult_children_senior,adult,8.86E-55,4.07E-47
1336926,37622529,tadalafil,hypertension,adult_children_senior_youth,adult,1.46E-54,6.68E-47
1001419,36919230,cocaine,completed suicide,adult_children_senior_youth,adult,1.19E-53,5.44E-46
19022417,42889647,diamorphine,toxicity to various agents,adult_children_senior_youth,adult,2.56E-53,1.18E-45
1539403,35809130,simvastatin,flushing,adult_children_senior_youth,adult,8.82E-53,4.05E-45
1589505,35204948,levonorgestrel,tachycardia,adult_youth,adult,1.86E-48,8.55E-41
1549080,36617162,conjugated estrogens,breast cancer,adult_children_senior_youth,adult,3.36E-48,1.54E-40
984232,43053904,isotretinoin,exposure during pregnancy,adult_children_youth,adult,3.63E-48,1.67E-40
1521987,35808976,teriparatide,injection site erythema,adult_children_senior,adult,1.51E-46,6.93E-39
1344905,37320268,carboplatin,alopecia,adult_children_senior_youth,adult,1.18E-45,5.43E-38
735979,42889647,risperidone,toxicity to various agents,adult_children_senior_youth,adult,2.03E-45,9.31E-38
766814,35707713,quetiapine,pancreatitis,adult_children_senior_youth,adult,1.29E-42,5.94E-35
1112807,36314160,aspirin,blood glucose increased,adult_children_senior_youth,adult,2.94E-42,1.35E-34
1310317,36919046,cyclophosphamide,emotional distress,adult_children_senior_youth,adult,6.47E-42,2.97E-34
1361711,35205164,glyceryl trinitrate,coronary artery disease,adult_children_senior_youth,adult,1.81E-41,8.32E-34
1305058,36110697,methotrexate,nasopharyngitis,adult_children_senior_youth,adult,5.64E-41,2.59E-33
1309944,35204954,amiodarone,atrial flutter,adult_children_senior_youth,adult,9.16E-41,4.21E-33
1322184,37522317,clopidogrel,coronary arterial stent insertion,adult_senior_youth,adult,1.64E-40,7.51E-33
1308290,35305470,vincristine,cytogenetic abnormality,adult_children_senior_youth,adult,2.04E-40,9.38E-33
40057995,37622465,drospirenone / ethinyl estradiol Oral Tablet,deep vein thrombosis,adult_children_youth,adult,4.88E-39,2.24E-31
1112807,37522317,aspirin,coronary arterial stent insertion,adult_senior,adult,1.04E-38,4.79E-31
40057995,37219871,drospirenone / ethinyl estradiol Oral Tablet,pulmonary embolism,adult_children_youth,adult,1.15E-38,5.27E-31
984232,36818634,isotretinoin,abortion spontaneous,adult_children_youth,adult,1.44E-38,6.60E-31
1510813,35205189,rosuvastatin,myocardial infarction,adult_children_senior,adult,1.52E-37,6.96E-30
1336926,36313985,tadalafil,blood cholesterol increased,adult_senior_youth,adult,4.38E-37,2.01E-29
1597756,36314160,glimepiride,blood glucose increased,adult_children_senior,adult,6.28E-37,2.88E-29
937368,37521618,infliximab,caesarean section,adult_children_youth,adult,6.78E-37,3.11E-29
1797513,36718500,ciprofloxacin,neuropathy peripheral,adult_children_senior_youth,adult,3.06E-36,1.40E-28
1112807,35205182,aspirin,angina unstable,adult_senior,adult,3.46E-36,1.59E-28
1112807,37522318,aspirin,coronary artery bypass,adult_children_senior,adult,7.64E-36,3.51E-28
1308290,37521169,vincristine,stem cell transplant,adult_children_senior_youth,adult,9.70E-36,4.45E-28
956874,35205189,furosemide,myocardial infarction,adult_children_senior_youth,adult,1.80E-35,8.25E-28
45892558,37019321,dasabuvir,renal impairment,adult_senior,adult,4.67E-35,2.14E-27
1310317,42890655,cyclophosphamide,psychological trauma,adult_senior,adult,2.13E-34,9.77E-27
1151789,36516828,etanercept,psoriatic arthropathy,adult_children_senior_youth,adult,4.59E-34,2.11E-26
735979,36919230,risperidone,completed suicide,adult_children_senior_youth,adult,3.17E-33,1.45E-25
1336926,36918949,tadalafil,depressed mood,adult_senior_youth,adult,3.36E-33,1.54E-25
1361711,35205180,glyceryl trinitrate,acute myocardial infarction,adult_senior_youth,adult,5.06E-33,2.32E-25
766814,35506609,quetiapine,diabetes mellitus,adult_children_senior_youth,adult,9.21E-33,4.23E-25
1336539,35708395,sunitinib,gastrointestinal stromal tumour,adult_children_senior_youth,adult,9.52E-33,4.37E-25
984232,35708128,isotretinoin,irritable bowel syndrome,adult_children_senior_youth,adult,1.30E-32,5.95E-25
1112807,35205181,aspirin,angina pectoris,adult_children_senior_youth,adult,2.39E-32,1.10E-24
715233,36718112,baclofen,multiple sclerosis relapse,adult_senior_youth,adult,4.18E-32,1.92E-24
1338512,36919046,doxorubicin,emotional distress,adult_senior_youth,adult,4.09E-31,1.88E-23
1103640,35204977,methadone,torsade de pointes,adult_children_senior_youth,adult,1.05E-30,4.81E-23
1305058,43053848,methotrexate,drug effect incomplete,adult_children_senior_youth,adult,6.69E-30,3.07E-22
1503297,35205189,metformin,myocardial infarction,adult_children_senior_youth,adult,8.09E-30,3.71E-22
1589505,36718141,levonorgestrel,migraine,adult_children_youth,adult,7.61E-29,3.49E-21
1383815,35205164,isosorbide,coronary artery disease,adult_children_senior,adult,1.08E-28,4.96E-21
1112807,35205185,aspirin,chest pain,adult_children_senior_youth,adult,2.24E-28,1.03E-20
1149380,35809293,fluticasone,product taste abnormal,adult_children_senior_youth,adult,3.54E-28,1.63E-20
1305058,36009833,methotrexate,rheumatoid arthritis,adult_children_senior_youth,adult,7.98E-28,3.66E-20
956874,35205164,furosemide,coronary artery disease,adult_children_senior,adult,9.46E-28,4.34E-20
1332418,35205189,amlodipine,myocardial infarction,adult_children_senior_youth,adult,2.14E-27,9.82E-20
735979,35506628,risperidone,hyperglycaemia,adult_children_senior_youth,adult,3.25E-27,1.49E-19
1539403,35205164,simvastatin,coronary artery disease,adult_children_senior_youth,adult,3.92E-27,1.80E-19
1524674,35809120,zoledronic acid,disease progression,adult_children_senior_youth,adult,6.44E-27,2.96E-19
785788,35707713,olanzapine,pancreatitis,adult_children_senior_youth,adult,1.03E-26,4.71E-19
735979,36718500,risperidone,neuropathy peripheral,adult_senior_youth,adult,1.03E-26,4.73E-19
1322184,35205182,clopidogrel,angina unstable,adult_senior,adult,2.51E-26,1.15E-18
40222444,36617295,denosumab,malignant neoplasm progression,adult_senior_youth,adult,2.55E-26,1.17E-18
1118084,35205189,celecoxib,myocardial infarction,adult_children_senior_youth,adult,2.80E-26,1.29E-18
904525,37320316,bimatoprost,trichorrhexis,adult_children_senior_youth,adult,3.32E-26,1.52E-18
1314002,35205189,atenolol,myocardial infarction,adult_children_senior,adult,4.32E-26,1.98E-18
1322184,35205179,clopidogrel,acute coronary syndrome,adult_children_senior,adult,7.82E-26,3.59E-18
1336926,36312382,tadalafil,blood testosterone decreased,adult_senior_youth,adult,7.98E-26,3.66E-18
19012585,35104103,asparaginase,bone marrow failure,adult_children_senior_youth,adult,2.67E-25,1.22E-17
1597756,36315380,glimepiride,weight decreased,adult_children_senior_youth,adult,2.80E-25,1.28E-17
1322184,37522318,clopidogrel,coronary artery bypass,adult_children_senior,adult,6.38E-25,2.93E-17
1154029,35809243,fentanyl,pain,adult_children_senior_youth,adult,9.24E-25,4.24E-17
1547504,35205164,rosiglitazone,coronary artery disease,adult_senior,adult,1.24E-24,5.67E-17
1521987,43053808,teriparatide,injection site bruising,adult_children_senior_youth,adult,1.87E-24,8.60E-17
